Puzzle Number,Algorithm,Heuristic,Solution Path Length,Search Path Length,Execution Time (s)
37,gbfs,h3,115,12142,109.9127
37,gbfs,h4,367,4572,49.0017
38,a*,h1,4,650,0.0669
38,a*,h2,4,650,0.0648
38,a*,h3,4,189,0.0186
38,a*,h4,4,3984,0.5463
38,ucs,NA,4,3984,0.3160
38,gbfs,h1,42,1034,5.2021
38,gbfs,h2,42,1034,5.4106
38,gbfs,h3,42,1034,5.4024
38,gbfs,h4,137,1496,12.9020
39,a*,h1,49,25152,3.8512
39,a*,h2,49,25152,4.0154
39,a*,h3,52,23129,3.3918
39,a*,h4,49,29260,5.3171
39,ucs,NA,49,29260,3.1754
39,gbfs,h1,95,1056,3.6373
39,gbfs,h2,95,1056,3.9684
39,gbfs,h3,95,1056,3.8686
39,gbfs,h4,142,1365,8.1977
40,a*,h1,11,4837,0.6427
40,a*,h2,11,4837,0.6617
40,a*,h3,12,4360,0.5767
40,a*,h4,11,8210,1.3755
40,ucs,NA,11,8210,0.8199
40,gbfs,h1,82,1593,6.2243
40,gbfs,h2,82,1593,7.3534
40,gbfs,h3,82,1593,6.6483
40,gbfs,h4,121,1122,5.9092
41,a*,h1,49,11066,1.6747
41,a*,h2,49,11066,1.6814
41,a*,h3,51,10792,1.6505
41,a*,h4,49,11128,2.0629
41,ucs,NA,49,11128,1.2937
41,gbfs,h1,94,1390,4.6007
41,gbfs,h2,94,1390,5.1622
41,gbfs,h3,94,1390,4.9108
41,gbfs,h4,89,853,4.4162
42,a*,h1,9,705,0.0942
42,a*,h2,9,705,0.0941
42,a*,h3,10,448,0.0616
42,a*,h4,9,1829,0.3034
42,ucs,NA,9,1829,0.2027
42,gbfs,h1,75,681,2.3418
42,gbfs,h2,75,681,2.5442
42,gbfs,h3,75,681,2.3902
42,gbfs,h4,68,731,3.4887
43,a*,h1,9,1279,0.1669
43,a*,h2,9,1279,0.1655
43,a*,h3,10,1157,0.1578
43,a*,h4,9,3246,0.5280
43,ucs,NA,9,3246,0.3084
43,gbfs,h1,71,784,2.5063
43,gbfs,h2,71,784,2.7357
43,gbfs,h3,71,784,2.7565
43,gbfs,h4,79,662,2.8743
44,a*,h1,11,1163,0.1768
44,a*,h2,11,1163,0.1797
44,a*,h3,12,1178,0.1808
44,a*,h4,11,1926,0.3708
44,ucs,NA,11,1926,0.2324
44,gbfs,h1,68,713,2.6379
44,gbfs,h2,68,713,2.9281
44,gbfs,h3,68,713,2.8509
44,gbfs,h4,62,473,2.2669
45,a*,h1,8,559,0.0698
45,a*,h2,8,559,0.0712
45,a*,h3,9,151,0.0201
45,a*,h4,8,2646,0.4146
45,ucs,NA,8,2646,0.2474
45,gbfs,h1,66,381,1.3574
45,gbfs,h2,66,381,1.4232
45,gbfs,h3,66,381,1.4516
45,gbfs,h4,75,620,2.9372
46,a*,h1,3,63,0.0068
46,a*,h2,3,63,0.0067
46,a*,h3,3,53,0.0056
46,a*,h4,3,203,0.0276
46,ucs,NA,3,203,0.0159
46,gbfs,h1,3,4,0.0110
46,gbfs,h2,3,4,0.0150
46,gbfs,h3,3,4,0.0120
46,gbfs,h4,10,54,0.2463
47,a*,h1,3,33,0.0034
47,a*,h2,3,33,0.0037
47,a*,h3,3,33,0.0033
47,a*,h4,3,153,0.0218
47,ucs,NA,3,153,0.0125
